metrica,valor
subprefeituras,32.0
cameras_set_2025,40000.0
bos_elegiveis_2025,161145.0
bos_com_coordenada_valida_2025,133051.0
bos_atribuidos_subprefeitura_2025,132933.0
bos_atribuidos_distrito_2025,132933.0
pct_bos_com_coord_valida,82.57
pct_bos_atribuidos_subpref_total,82.49
pct_spatial_join_subpref_entre_coords_validas,99.91
pearson_cameras10k_celulares100k,0.7704
spearman_cameras10k_celulares100k,0.7379
pearson_cameras_abs_celulares_abs,0.7767
spearman_cameras_abs_celulares_abs,0.8248
pearson_cameras_km2_celulares_km2,0.7644
spearman_cameras_km2_celulares_km2,0.8087
pearson_cameras10k_roubos100k,0.813
spearman_cameras10k_roubos100k,0.6661
pearson_cameras10k_furtos100k,0.7439
spearman_cameras10k_furtos100k,0.746
pearson_cameras10k_celulares100k_sep_dec,0.8117
spearman_cameras10k_celulares100k_sep_dec,0.6873
pearson_sensibilidade_sem_se_pinheiros_vmariana_lapa,0.5933
spearman_sensibilidade_sem_se_pinheiros_vmariana_lapa,0.6169
bos_com_rubrica_roubo_e_furto_geocod,39.0
