subprefeitura,regiao_administrativa,populacao_2022,area_km2,cameras_2025_09,cameras_por_10_mil_hab_pop2022,cameras_por_km2_area2025,celulares_subtraidos_geocod_2025,roubos_geocod_2025,furtos_geocod_2025,bo_rubrica_roubo_e_furto_2025,celulares_geocod_por_100_mil_pop2022,roubos_geocod_por_100_mil_pop2022,furtos_geocod_por_100_mil_pop2022,celulares_geocod_por_km2_area2025,rank_cameras_percap,rank_celulares_geocod_percap,quartil_cameras_percap,quadrante_mediana
Pinheiros,Oeste,285815,32.0,5837,204.22,182.41,11840,3702,8142,4,4142.54,1295.24,2848.7,370.0,1,2,Q4_maior,mais_cameras_mais_bos
Vila Mariana,Sul,337654,26.99,3441,101.91,127.49,6144,1956,4189,1,1819.61,579.29,1240.62,227.64,2,5,Q4_maior,mais_cameras_mais_bos
Sé,Centro,423536,26.67,4179,98.67,156.69,25636,6208,19437,9,6052.85,1465.75,4589.22,961.23,3,1,Q4_maior,mais_cameras_mais_bos
Santo Amaro,Sul,272332,37.75,2075,76.19,54.97,4818,1868,2950,0,1769.16,685.93,1083.24,127.63,4,6,Q4_maior,mais_cameras_mais_bos
Lapa,Oeste,338347,40.63,2486,73.47,61.19,7481,2341,5142,2,2211.04,691.89,1519.74,184.13,5,4,Q4_maior,mais_cameras_mais_bos
Cidade Tiradentes,Leste,194177,14.94,1253,64.53,83.87,1114,685,429,0,573.7,352.77,220.93,74.56,6,24,Q4_maior,mais_cameras_menos_bos
Mooca,Leste,377163,36.05,1760,46.66,48.82,10286,2662,7631,7,2727.2,705.8,2023.26,285.33,7,3,Q4_maior,mais_cameras_mais_bos
Butantã,Oeste,468522,56.31,1940,41.41,34.45,4747,2132,2615,0,1013.19,455.05,558.14,84.3,8,8,Q4_maior,mais_cameras_mais_bos
Itaim Paulista,Leste,345968,21.6,1404,40.58,65.0,2028,1129,899,0,586.18,326.33,259.85,93.89,9,23,Q3,mais_cameras_menos_bos
Santana/Tucuruvi,Norte,318913,35.78,1123,35.21,31.39,3988,1242,2746,0,1250.5,389.45,861.05,111.46,10,7,Q3,mais_cameras_mais_bos
Campo Limpo,Sul,675598,36.67,2209,32.7,60.24,6313,4568,1748,3,934.43,676.14,258.73,172.16,11,10,Q3,mais_cameras_mais_bos
Itaquera,Leste,550540,55.14,1578,28.66,28.62,3686,1775,1912,1,669.52,322.41,347.3,66.85,12,18,Q3,mais_cameras_menos_bos
Jabaquara,Sul,214958,14.01,549,25.54,39.19,1427,690,737,0,663.85,320.99,342.86,101.86,13,19,Q3,mais_cameras_menos_bos
Ipiranga,Sul,480878,37.49,1145,23.81,30.54,4594,2104,2492,2,955.34,437.53,518.22,122.54,14,9,Q3,mais_cameras_mais_bos
