ano_ocorrencia,mes_ocorrencia,distrito_geosampa,subtracoes_total,roubos,furtos
2025,1,AGUA RASA,33,17,16
2025,1,ALTO DE PINHEIROS,42,11,31
2025,1,ANHANGUERA,27,13,14
2025,1,ARICANDUVA,51,41,11
2025,1,ARTUR ALVIM,52,30,22
2025,1,BARRA FUNDA,163,52,111
2025,1,BELA VISTA,252,59,193
2025,1,BELEM,84,28,56
2025,1,BOM RETIRO,275,51,224
2025,1,BRAS,262,70,192
2025,1,BRASILANDIA,91,45,46
2025,1,BUTANTA,108,42,66
2025,1,CACHOEIRINHA,51,20,31
2025,1,CAMBUCI,79,21,58
2025,1,CAMPO BELO,60,27,33
2025,1,CAMPO GRANDE,51,25,26
2025,1,CAMPO LIMPO,182,134,48
2025,1,CANGAIBA,42,22,20
2025,1,CAPAO REDONDO,216,154,62
2025,1,CARRAO,57,26,31
2025,1,CASA VERDE,63,18,45
2025,1,CIDADE ADEMAR,99,53,46
2025,1,CIDADE DUTRA,87,43,44
2025,1,CIDADE LIDER,76,56,20
2025,1,CIDADE TIRADENTES,113,83,30
2025,1,CONSOLACAO,378,71,307
2025,1,CURSINO,84,46,38
2025,1,ERMELINO MATARAZZO,38,26,12
2025,1,FREGUESIA DO O,70,36,34
2025,1,GRAJAU,174,123,51
2025,1,GUAIANASES,93,62,31
2025,1,IGUATEMI,61,46,15
2025,1,IPIRANGA,207,96,111
2025,1,ITAIM BIBI,252,88,165
2025,1,ITAIM PAULISTA,125,83,42
2025,1,ITAQUERA,145,93,52
2025,1,JABAQUARA,108,63,45
2025,1,JACANA,48,29,19
2025,1,JAGUARA,17,6,11
2025,1,JAGUARE,26,5,21
2025,1,JARAGUA,68,44,24
2025,1,JARDIM ANGELA,124,90,34
2025,1,JARDIM HELENA,33,18,15
2025,1,JARDIM PAULISTA,177,57,120
2025,1,JARDIM SAO LUIS,152,89,63
2025,1,JOSE BONIFACIO,51,27,24
2025,1,LAJEADO,134,105,29
2025,1,LAPA,155,43,112
2025,1,LIBERDADE,186,32,154
2025,1,LIMAO,74,33,41
2025,1,MANDAQUI,41,26,15
2025,1,MARSILAC,1,1,0
2025,1,MOEMA,117,35,82
2025,1,MOOCA,81,20,61
2025,1,MORUMBI,62,36,26
2025,1,PARELHEIROS,53,34,19
2025,1,PARI,69,17,52
2025,1,PARQUE DO CARMO,62,39,23
2025,1,PEDREIRA,63,52,11
2025,1,PENHA,82,43,39
2025,1,PERDIZES,105,37,68
2025,1,PERUS,35,15,20
2025,1,PINHEIROS,384,136,248
2025,1,PIRITUBA,89,48,41
2025,1,PONTE RASA,38,21,17
2025,1,RAPOSO TAVARES,33,24,9
2025,1,REPUBLICA,414,143,271
2025,1,RIO PEQUENO,53,34,19
2025,1,SACOMA,117,76,41
2025,1,SANTA CECILIA,303,78,225
2025,1,SANTANA,257,80,177
2025,1,SANTO AMARO,198,74,124
2025,1,SAO DOMINGOS,47,25,22
2025,1,SAO LUCAS,104,87,18
2025,1,SAO MATEUS,159,115,44
2025,1,SAO MIGUEL,96,45,51
2025,1,SAO RAFAEL,42,35,7
2025,1,SAPOPEMBA,136,105,31
2025,1,SAUDE,111,63,48
2025,1,SE,338,101,237
2025,1,SOCORRO,45,24,21
2025,1,TATUAPE,125,43,83
2025,1,TREMEMBE,63,33,30
2025,1,TUCURUVI,53,30,23
2025,1,VILA ANDRADE,72,42,30
2025,1,VILA CURUCA,74,49,25
2025,1,VILA FORMOSA,31,15,16
2025,1,VILA GUILHERME,58,18,41
2025,1,VILA JACUI,74,49,25
