ano_ocorrencia,mes_ocorrencia,subprefeitura_geosampa,subtracoes_total,roubos,furtos
2025,1,ARICANDUVA-FORMOSA-CARRAO,139,82,58
2025,1,BUTANTA,313,170,143
2025,1,CAMPO LIMPO,470,330,140
2025,1,CAPELA DO SOCORRO,306,190,116
2025,1,CASA VERDE-LIMAO-CACHOEIRINHA,188,71,117
2025,1,CIDADE ADEMAR,162,105,57
2025,1,CIDADE TIRADENTES,113,83,30
2025,1,ERMELINO MATARAZZO,76,47,29
2025,1,FREGUESIA-BRASILANDIA,161,81,80
2025,1,GUAIANASES,227,167,60
2025,1,IPIRANGA,408,218,190
2025,1,ITAIM PAULISTA,199,132,67
2025,1,ITAQUERA,334,215,119
2025,1,JABAQUARA,108,63,45
2025,1,JACANA-TREMEMBE,111,62,49
2025,1,LAPA,501,154,347
2025,1,M BOI MIRIM,276,179,97
2025,1,MOOCA,654,195,460
2025,1,PARELHEIROS,54,35,19
2025,1,PENHA,242,129,113
2025,1,PERUS-ANHANGUERA,62,28,34
2025,1,PINHEIROS,855,292,564
2025,1,PIRITUBA-JARAGUA,204,117,87
2025,1,SANTANA-TUCURUVI,351,136,215
2025,1,SANTO AMARO,309,126,183
2025,1,SAO MATEUS,262,196,66
2025,1,SAO MIGUEL,203,112,91
2025,1,SAPOPEMBA,136,105,31
2025,1,SE,2225,556,1669
2025,1,VILA MARIA-VILA GUILHERME,185,87,99
2025,1,VILA MARIANA,398,151,247
2025,1,VILA PRUDENTE,213,155,59
2025,2,ARICANDUVA-FORMOSA-CARRAO,129,74,55
2025,2,BUTANTA,409,199,210
2025,2,CAMPO LIMPO,447,336,111
2025,2,CAPELA DO SOCORRO,291,166,125
2025,2,CASA VERDE-LIMAO-CACHOEIRINHA,220,76,144
2025,2,CIDADE ADEMAR,139,75,64
2025,2,CIDADE TIRADENTES,90,52,38
2025,2,ERMELINO MATARAZZO,83,53,30
2025,2,FREGUESIA-BRASILANDIA,183,91,92
2025,2,GUAIANASES,174,103,71
2025,2,IPIRANGA,397,218,179
2025,2,ITAIM PAULISTA,138,84,54
2025,2,ITAQUERA,356,187,170
2025,2,JABAQUARA,139,75,64
2025,2,JACANA-TREMEMBE,118,49,69
2025,2,LAPA,718,236,482
2025,2,M BOI MIRIM,271,179,92
2025,2,MOOCA,719,200,520
2025,2,PARELHEIROS,36,24,12
2025,2,PENHA,278,164,114
2025,2,PERUS-ANHANGUERA,99,44,55
2025,2,PINHEIROS,1017,347,670
2025,2,PIRITUBA-JARAGUA,186,107,79
2025,2,SANTANA-TUCURUVI,347,91,256
2025,2,SANTO AMARO,380,145,235
2025,2,SAO MATEUS,256,177,79
2025,2,SAO MIGUEL,201,108,93
2025,2,SAPOPEMBA,89,64,25
2025,2,SE,2222,599,1626
2025,2,VILA MARIA-VILA GUILHERME,195,74,121
2025,2,VILA MARIANA,448,159,289
2025,2,VILA PRUDENTE,173,118,55
2025,3,ARICANDUVA-FORMOSA-CARRAO,124,64,60
2025,3,BUTANTA,350,197,153
2025,3,CAMPO LIMPO,457,332,125
2025,3,CAPELA DO SOCORRO,582,183,399
2025,3,CASA VERDE-LIMAO-CACHOEIRINHA,268,94,175
2025,3,CIDADE ADEMAR,151,81,70
2025,3,CIDADE TIRADENTES,91,53,38
2025,3,ERMELINO MATARAZZO,107,67,40
2025,3,FREGUESIA-BRASILANDIA,207,116,91
2025,3,GUAIANASES,168,111,57
2025,3,IPIRANGA,425,218,207
2025,3,ITAIM PAULISTA,210,132,78
2025,3,ITAQUERA,356,188,168
2025,3,JABAQUARA,138,73,65
2025,3,JACANA-TREMEMBE,128,51,77
2025,3,LAPA,791,273,518
2025,3,M BOI MIRIM,323,230,93
2025,3,MOOCA,826,270,556
2025,3,PARELHEIROS,41,26,15
2025,3,PENHA,314,173,141
2025,3,PERUS-ANHANGUERA,103,47,56
2025,3,PINHEIROS,1009,329,680
2025,3,PIRITUBA-JARAGUA,230,137,93
2025,3,SANTANA-TUCURUVI,411,127,284
2025,3,SANTO AMARO,346,150,196
2025,3,SAO MATEUS,231,148,83
2025,3,SAO MIGUEL,178,93,85
2025,3,SAPOPEMBA,86,63,23
2025,3,SE,2826,748,2078
2025,3,VILA MARIA-VILA GUILHERME,240,106,134
2025,3,VILA MARIANA,905,205,701
2025,3,VILA PRUDENTE,146,91,55
2025,4,ARICANDUVA-FORMOSA-CARRAO,113,63,50
2025,4,BUTANTA,390,192,198
2025,4,CAMPO LIMPO,476,349,127
2025,4,CAPELA DO SOCORRO,304,156,148
2025,4,CASA VERDE-LIMAO-CACHOEIRINHA,231,84,147
2025,4,CIDADE ADEMAR,191,101,90
2025,4,CIDADE TIRADENTES,125,82,43
2025,4,ERMELINO MATARAZZO,85,46,39
2025,4,FREGUESIA-BRASILANDIA,176,95,81
2025,4,GUAIANASES,180,113,67
2025,4,IPIRANGA,364,208,156
2025,4,ITAIM PAULISTA,187,109,78
2025,4,ITAQUERA,288,154,134
