ano_ocorrencia,mes_ocorrencia,bos_elegiveis,bos_coordenada_valida,bos_atribuidos_subprefeitura,bos_atribuidos_distrito,pct_coordenada_valida,pct_atribuido_subprefeitura_total,pct_atribuido_distrito_total,pct_atribuido_subprefeitura_com_coord,pct_atribuido_distrito_com_coord
2025,1,12700,10457,10445,10445,82.34,82.24,82.24,99.89,99.89
2025,2,13294,10960,10948,10948,82.44,82.35,82.35,99.89,99.89
2025,3,15407,12776,12768,12768,82.92,82.87,82.87,99.94,99.94
2025,4,12737,10484,10479,10479,82.31,82.27,82.27,99.95,99.95
2025,5,13906,11382,11375,11375,81.85,81.8,81.8,99.94,99.94
2025,6,13209,10869,10861,10861,82.28,82.22,82.22,99.93,99.93
2025,7,13636,11329,11319,11319,83.08,83.01,83.01,99.91,99.91
2025,8,13942,11525,11516,11516,82.66,82.6,82.6,99.92,99.92
2025,9,14088,11730,11718,11718,83.26,83.18,83.18,99.9,99.9
2025,10,13286,10888,10873,10873,81.95,81.84,81.84,99.86,99.86
2025,11,13009,10707,10695,10695,82.3,82.21,82.21,99.89,99.89
2025,12,11931,9944,9936,9936,83.35,83.28,83.28,99.92,99.92
