source_order,subprefeitura,reference_period,cameras_2025_09,source_id,notes,regiao_administrativa,populacao_2022,area_km2,cameras_por_10_mil_hab_pop2022,cameras_por_km2_area2025
1,Pinheiros,2025-09,5837,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Oeste,285815,32.0,204.22,182.41
2,Sé,2025-09,4179,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Centro,423536,26.67,98.67,156.69
3,Vila Mariana,2025-09,3441,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Sul,337654,26.99,101.91,127.49
4,Lapa,2025-09,2486,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Oeste,338347,40.63,73.47,61.19
5,Campo Limpo,2025-09,2209,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Sul,675598,36.67,32.7,60.24
6,Santo Amaro,2025-09,2075,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Sul,272332,37.75,76.19,54.97
7,Butantã,2025-09,1940,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Oeste,468522,56.31,41.41,34.45
8,Mooca,2025-09,1760,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Leste,377163,36.05,46.66,48.82
9,Itaquera,2025-09,1578,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Leste,550540,55.14,28.66,28.62
10,Itaim Paulista,2025-09,1404,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Leste,345968,21.6,40.58,65.0
11,Capela do Socorro,2025-09,1204,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Sul,605383,132.85,19.89,9.06
12,Cidade Tiradentes,2025-09,1253,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Leste,194177,14.94,64.53,83.87
13,Ipiranga,2025-09,1145,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Sul,480878,37.49,23.81,30.54
14,Santana/Tucuruvi,2025-09,1123,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Norte,318913,35.78,35.21,31.39
15,Penha,2025-09,925,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Leste,472757,40.44,19.57,22.87
16,São Mateus,2025-09,734,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Leste,453527,45.31,16.18,16.2
17,São Miguel Paulista,2025-09,723,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Leste,344609,26.16,20.98,27.64
18,Casa Verde/Limão/Cachoeirinha,2025-09,710,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Norte,306275,27.23,23.18,26.07
19,Aricanduva/Formosa/Carrão,2025-09,526,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Leste,266157,22.33,19.76,23.56
20,Jabaquara,2025-09,549,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Sul,214958,14.01,25.54,39.19
21,Vila Maria/Vila Guilherme,2025-09,548,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Norte,276069,26.9,19.85,20.37
22,Vila Prudente,2025-09,463,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Leste,243728,19.2,19.0,24.11
23,Pirituba/Jaraguá,2025-09,446,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Norte,480218,55.02,9.29,8.11
24,M'Boi Mirim,2025-09,425,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Sul,570809,62.41,7.45,6.81
25,Cidade Ademar,2025-09,412,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Sul,412804,30.81,9.98,13.37
26,Jaçanã/Tremembé,2025-09,390,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Norte,283892,65.12,13.74,5.99
27,Freguesia/Brasilândia,2025-09,357,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Norte,380513,31.98,9.38,11.16
28,Ermelino Matarazzo,2025-09,277,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Leste,202214,15.97,13.7,17.35
29,Perus/Anhanguera,2025-09,248,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Norte,163083,56.88,15.21,4.36
30,Guaianases,2025-09,236,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Leste,273707,17.77,8.62,13.28
31,Parelheiros,2025-09,205,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Sul,165138,360.5,12.41,0.57
32,Sapopemba,2025-09,192,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.,Leste,266715,13.63,7.2,14.09
