subprefeitura,area_km2,source_id
Sé,26.67,10
Aricanduva/Formosa/Carrão,22.33,10
Cidade Tiradentes,14.94,10
Ermelino Matarazzo,15.97,10
Guaianases,17.77,10
Itaim Paulista,21.60,10
Itaquera,55.14,10
Mooca,36.05,10
Penha,40.44,10
São Mateus,45.31,10
São Miguel Paulista,26.16,10
Sapopemba,13.63,10
Vila Prudente,19.20,10
Casa Verde/Limão/Cachoeirinha,27.23,10
Freguesia/Brasilândia,31.98,10
Jaçanã/Tremembé,65.12,10
Perus/Anhanguera,56.88,10
Pirituba/Jaraguá,55.02,10
Santana/Tucuruvi,35.78,10
Vila Maria/Vila Guilherme,26.90,10
Butantã,56.31,10
Lapa,40.63,10
Pinheiros,32.00,10
Campo Limpo,36.67,10
Capela do Socorro,132.85,10
Cidade Ademar,30.81,10
Ipiranga,37.49,10
Jabaquara,14.01,10
M'Boi Mirim,62.41,10
Parelheiros,360.50,10
Santo Amaro,37.75,10
Vila Mariana,26.99,10
