reference_period,regiao_reportada_smart_sampa,camera_count,source_id,notes
2025-06,Centro,7330,3,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2025-06,Leste,7931,3,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2025-06,Sul,6741,3,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2025-06,Oeste,6715,3,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2025-06,Norte,2606,3,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2025-09,Centro,9000,4,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2025-09,Oeste,11000,4,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2025-09,Leste,8500,4,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2025-09,Sul,8500,4,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2025-09,Norte,3000,4,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2026-04,Centro,12000,5,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2026-04,Oeste,14000,5,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2026-04,Leste,9000,5,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2026-04,Sul,10000,5,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
2026-04,Norte,5000,5,Região conforme nomenclatura da publicação do Smart Sampa; não assumir equivalência automática com a região administrativa das subprefeituras.
