source_order,subprefeitura,reference_period,camera_count,source_id,notes
1,Pinheiros,2025-09,5837,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
2,Sé,2025-09,4179,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
3,Vila Mariana,2025-09,3441,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
4,Lapa,2025-09,2486,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
5,Campo Limpo,2025-09,2209,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
6,Santo Amaro,2025-09,2075,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
7,Butantã,2025-09,1940,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
8,Mooca,2025-09,1760,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
9,Itaquera,2025-09,1578,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
10,Itaim Paulista,2025-09,1404,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
11,Capela do Socorro,2025-09,1204,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
12,Cidade Tiradentes,2025-09,1253,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
13,Ipiranga,2025-09,1145,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
14,Santana/Tucuruvi,2025-09,1123,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
15,Penha,2025-09,925,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
16,São Mateus,2025-09,734,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
17,São Miguel Paulista,2025-09,723,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
18,Casa Verde/Limão/Cachoeirinha,2025-09,710,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
19,Aricanduva/Formosa/Carrão,2025-09,526,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
20,Jabaquara,2025-09,549,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
21,Vila Maria/Vila Guilherme,2025-09,548,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
22,Vila Prudente,2025-09,463,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
23,Pirituba/Jaraguá,2025-09,446,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
24,M'Boi Mirim,2025-09,425,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
25,Cidade Ademar,2025-09,412,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
26,Jaçanã/Tremembé,2025-09,390,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
27,Freguesia/Brasilândia,2025-09,357,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
28,Ermelino Matarazzo,2025-09,277,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
29,Perus/Anhanguera,2025-09,248,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
30,Guaianases,2025-09,236,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
31,Parelheiros,2025-09,205,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
32,Sapopemba,2025-09,192,1,Contagem publicada pelo Metrópoles a partir de resposta LAI.
