reference_period,subprefeitura,camera_count,source_id,notes
2024-09,Mooca,588,6,Monitoramento Participa+ em 19/09/2024.
2024-12,Mooca,803,6,Informado em 20/01/2025 como total instalado até o fim de 2024.
2025-09,Mooca,1760,1,"Fotografia das 32 subprefeituras, dados até setembro de 2025."
2024,Itaim Paulista,1200,7,Aproximadamente 1.200 câmeras; mês exato não especificado no parecer técnico.
2025-04,Itaim Paulista,1327,7,Monitoramento publicado em 20/05/2025.
2025-06,Itaim Paulista,1339,7,Monitoramento publicado em 15/07/2025.
2025-08,Itaim Paulista,1415,7,Monitoramento publicado em 08/09/2025.
2025-09,Itaim Paulista,1404,1,"Fotografia das 32 subprefeituras, dados até setembro de 2025."
2025-10,Itaim Paulista,1351,7,Monitoramento publicado em 10/11/2025.
2025-11,Itaim Paulista,1336,7,Monitoramento publicado em 10/12/2025.
