subprefeitura,regiao_administrativa,populacao_2022,source_id
Sé,Centro,423536,2
Aricanduva/Formosa/Carrão,Leste,266157,2
Cidade Tiradentes,Leste,194177,2
Ermelino Matarazzo,Leste,202214,2
Guaianases,Leste,273707,2
Itaim Paulista,Leste,345968,2
Itaquera,Leste,550540,2
Mooca,Leste,377163,2
Penha,Leste,472757,2
São Mateus,Leste,453527,2
São Miguel Paulista,Leste,344609,2
Sapopemba,Leste,266715,2
Vila Prudente,Leste,243728,2
Casa Verde/Limão/Cachoeirinha,Norte,306275,2
Freguesia/Brasilândia,Norte,380513,2
Jaçanã/Tremembé,Norte,283892,2
Perus/Anhanguera,Norte,163083,2
Pirituba/Jaraguá,Norte,480218,2
Santana/Tucuruvi,Norte,318913,2
Vila Maria/Vila Guilherme,Norte,276069,2
Butantã,Oeste,468522,2
Lapa,Oeste,338347,2
Pinheiros,Oeste,285815,2
Campo Limpo,Sul,675598,2
Capela do Socorro,Sul,605383,2
Cidade Ademar,Sul,412804,2
Ipiranga,Sul,480878,2
Jabaquara,Sul,214958,2
M'Boi Mirim,Sul,570809,2
Parelheiros,Sul,165138,2
Santo Amaro,Sul,272332,2
Vila Mariana,Sul,337654,2
